date,food_prices_trend
2010-01-01,30
2010-02-01,30
2010-03-01,33
2010-04-01,33
2010-05-01,35
2010-06-01,25
2010-07-01,22
2010-08-01,21
2010-09-01,24
2010-10-01,26
2010-11-01,37
2010-12-01,27
2011-01-01,41
2011-02-01,52
2011-03-01,50
2011-04-01,47
2011-05-01,44
2011-06-01,36
2011-07-01,32
2011-08-01,30
2011-09-01,34
2011-10-01,34
2011-11-01,35
2011-12-01,27
2012-01-01,32
2012-02-01,35
2012-03-01,34
2012-04-01,37
2012-05-01,38
2012-06-01,33
2012-07-01,41
2012-08-01,34
2012-09-01,36
2012-10-01,38
2012-11-01,36
2012-12-01,28
2013-01-01,31
2013-02-01,33
2013-03-01,33
2013-04-01,39
2013-05-01,36
2013-06-01,34
2013-07-01,35
2013-08-01,32
2013-09-01,32
2013-10-01,34
2013-11-01,34
2013-12-01,30
2014-01-01,32
2014-02-01,34
2014-03-01,40
2014-04-01,39
2014-05-01,42
2014-06-01,39
2014-07-01,38
2014-08-01,35
2014-09-01,35
2014-10-01,37
2014-11-01,37
2014-12-01,34
2015-01-01,34
2015-02-01,36
2015-03-01,37
2015-04-01,41
2015-05-01,44
2015-06-01,40
2015-07-01,41
2015-08-01,41
2015-09-01,40
2015-10-01,40
2015-11-01,41
2015-12-01,35
2016-01-01,37
2016-02-01,40
2016-03-01,42
2016-04-01,43
2016-05-01,46
2016-06-01,45
2016-07-01,44
2016-08-01,36
2016-09-01,39
2016-10-01,38
2016-11-01,40
2016-12-01,35
2017-01-01,42
2017-02-01,44
2017-03-01,48
2017-04-01,52
2017-05-01,55
2017-06-01,53
2017-07-01,63
2017-08-01,50
2017-09-01,49
2017-10-01,45
2017-11-01,47
2017-12-01,46
2018-01-01,47
2018-02-01,49
2018-03-01,51
2018-04-01,56
2018-05-01,58
2018-06-01,59
2018-07-01,63
2018-08-01,54
2018-09-01,49
2018-10-01,49
2018-11-01,46
2018-12-01,46
2019-01-01,47
2019-02-01,51
2019-03-01,54
2019-04-01,59
2019-05-01,61
2019-06-01,60
2019-07-01,61
2019-08-01,54
2019-09-01,49
2019-10-01,50
2019-11-01,48
2019-12-01,44
2020-01-01,49
2020-02-01,49
2020-03-01,36
2020-04-01,29
2020-05-01,29
2020-06-01,29
2020-07-01,27
2020-08-01,30
2020-09-01,29
2020-10-01,31
2020-11-01,30
2020-12-01,26
2021-01-01,27
2021-02-01,30
2021-03-01,35
2021-04-01,31
2021-05-01,39
2021-06-01,38
2021-07-01,39
2021-08-01,36
2021-09-01,35
2021-10-01,45
2021-11-01,39
2021-12-01,34
2022-01-01,39
2022-02-01,48
2022-03-01,68
2022-04-01,64
2022-05-01,65
2022-06-01,68
2022-07-01,58
2022-08-01,51
2022-09-01,51
2022-10-01,53
2022-11-01,48
2022-12-01,40
2023-01-01,49
2023-02-01,51
2023-03-01,52
2023-04-01,54
2023-05-01,57
2023-06-01,50
2023-07-01,52
2023-08-01,49
2023-09-01,52
2023-10-01,52
2023-11-01,47
2023-12-01,45
2024-01-01,46
2024-02-01,56
2024-03-01,56
2024-04-01,63
2024-05-01,70
2024-06-01,54
2024-07-01,51
2024-08-01,57
2024-09-01,58
2024-10-01,55
2024-11-01,54
2024-12-01,43
2025-01-01,52
2025-02-01,63
2025-03-01,62
2025-04-01,71
2025-05-01,65
2025-06-01,59
2025-07-01,100
2025-08-01,76
2025-09-01,68
2025-10-01,68
2025-11-01,71
