date,rent_trend
2020-11-08,72
2020-11-15,72
2020-11-22,65
2020-11-29,72
2020-12-06,72
2020-12-13,64
2020-12-20,63
2020-12-27,80
2021-01-03,79
2021-01-10,79
2021-01-17,82
2021-01-24,86
2021-01-31,84
2021-02-07,79
2021-02-14,83
2021-02-21,89
2021-02-28,97
2021-03-07,90
2021-03-14,87
2021-03-21,90
2021-03-28,93
2021-04-04,92
2021-04-11,95
2021-04-18,94
2021-04-25,90
2021-05-02,99
2021-05-09,96
2021-05-16,97
2021-05-23,96
2021-05-30,100
2021-06-06,97
2021-06-13,99
2021-06-20,97
2021-06-27,99
2021-07-04,95
2021-07-11,99
2021-07-18,97
2021-07-25,97
2021-08-01,92
2021-08-08,94
2021-08-15,93
2021-08-22,88
2021-08-29,88
2021-09-05,88
2021-09-12,83
2021-09-19,86
2021-09-26,86
2021-10-03,81
2021-10-10,82
2021-10-17,84
2021-10-24,81
2021-10-31,84
2021-11-07,78
2021-11-14,80
2021-11-21,74
2021-11-28,81
2021-12-05,73
2021-12-12,71
2021-12-19,67
2021-12-26,81
2022-01-02,86
2022-01-09,83
2022-01-16,74
2022-01-23,83
2022-01-30,84
2022-02-06,89
2022-02-13,85
2022-02-20,94
2022-02-27,94
2022-03-06,90
2022-03-13,93
2022-03-20,91
2022-03-27,90
2022-04-03,91
2022-04-10,81
2022-04-17,86
2022-04-24,84
2022-05-01,88
2022-05-08,85
2022-05-15,83
2022-05-22,86
2022-05-29,91
2022-06-05,87
2022-06-12,82
2022-06-19,87
2022-06-26,89
2022-07-03,87
2022-07-10,90
2022-07-17,90
2022-07-24,87
2022-07-31,86
2022-08-07,81
2022-08-14,87
2022-08-21,79
2022-08-28,79
2022-09-04,74
2022-09-11,71
2022-09-18,68
2022-09-25,64
2022-10-02,71
2022-10-09,68
2022-10-16,68
2022-10-23,65
2022-10-30,66
2022-11-06,65
2022-11-13,59
2022-11-20,56
2022-11-27,66
2022-12-04,62
2022-12-11,60
2022-12-18,56
2022-12-25,67
2023-01-01,73
2023-01-08,73
2023-01-15,69
2023-01-22,70
2023-01-29,76
2023-02-05,72
2023-02-12,67
2023-02-19,77
2023-02-26,77
2023-03-05,73
2023-03-12,75
2023-03-19,74
2023-03-26,74
2023-04-02,80
2023-04-09,75
2023-04-16,74
2023-04-23,75
2023-04-30,75
2023-05-07,72
2023-05-14,72
2023-05-21,76
2023-05-28,77
2023-06-04,78
2023-06-11,79
2023-06-18,77
2023-06-25,80
2023-07-02,87
2023-07-09,83
2023-07-16,77
2023-07-23,80
2023-07-30,79
2023-08-06,72
2023-08-13,70
2023-08-20,69
2023-08-27,73
2023-09-03,70
2023-09-10,66
2023-09-17,63
2023-09-24,64
2023-10-01,64
2023-10-08,59
2023-10-15,62
2023-10-22,60
2023-10-29,63
2023-11-05,60
2023-11-12,57
2023-11-19,53
2023-11-26,62
2023-12-03,60
2023-12-10,55
2023-12-17,55
2023-12-24,60
2023-12-31,66
2024-01-07,66
2024-01-14,61
2024-01-21,65
2024-01-28,68
2024-02-04,65
2024-02-11,59
2024-02-18,65
2024-02-25,68
2024-03-03,64
2024-03-10,67
2024-03-17,65
2024-03-24,65
2024-03-31,66
2024-04-07,67
2024-04-14,65
2024-04-21,67
2024-04-28,69
2024-05-05,66
2024-05-12,61
2024-05-19,68
2024-05-26,68
2024-06-02,67
2024-06-09,68
2024-06-16,69
2024-06-23,73
2024-06-30,72
2024-07-07,67
2024-07-14,68
2024-07-21,66
2024-07-28,69
2024-08-04,65
2024-08-11,64
2024-08-18,63
2024-08-25,60
2024-09-01,64
2024-09-08,56
2024-09-15,56
2024-09-22,57
2024-09-29,61
2024-10-06,54
2024-10-13,55
2024-10-20,56
2024-10-27,59
2024-11-03,54
2024-11-10,54
2024-11-17,57
2024-11-24,51
2024-12-01,55
2024-12-08,51
2024-12-15,51
2024-12-22,53
2024-12-29,63
2025-01-05,66
2025-01-12,61
2025-01-19,61
2025-01-26,60
2025-02-02,61
2025-02-09,58
2025-02-16,64
2025-02-23,67
2025-03-02,64
2025-03-09,64
2025-03-16,64
2025-03-23,66
2025-03-30,68
2025-04-06,64
2025-04-13,63
2025-04-20,63
2025-04-27,68
2025-05-04,67
2025-05-11,63
2025-05-18,65
2025-05-25,69
2025-06-01,70
2025-06-08,70
2025-06-15,68
2025-06-22,71
2025-06-29,76
2025-07-06,75
2025-07-13,78
2025-07-20,77
2025-07-27,78
2025-08-03,77
2025-08-10,68
2025-08-17,64
2025-08-24,67
2025-08-31,65
2025-09-07,60
2025-09-14,62
2025-09-21,62
2025-09-28,63
2025-10-05,58
2025-10-12,57
2025-10-19,57
2025-10-26,56
2025-11-02,59
2025-11-09,59
