target,term,k,r
CPI_MoM,rent_trend,0,0.24586231266632866
CPI_MoM,rent_trend,1,0.2621943556851277
CPI_MoM,rent_trend,2,0.2378168751869201
CPI_MoM,rent_trend,3,0.21392004584845947
CPI_MoM,gas_prices_trend,0,0.3937559744937468
CPI_MoM,gas_prices_trend,1,0.13134647322724896
CPI_MoM,gas_prices_trend,2,0.18342276915460942
CPI_MoM,gas_prices_trend,3,0.3210994863669395
CPI_MoM,food_index_trend,0,0.13794820377071082
CPI_MoM,food_index_trend,1,0.102173891325188
CPI_MoM,food_index_trend,2,0.07175427084061699
CPI_MoM,food_index_trend,3,0.08032536970379786
CPI_YoY,rent_trend,0,0.17781380730497343
CPI_YoY,rent_trend,1,0.21092841277219568
CPI_YoY,rent_trend,2,0.23501074523194174
CPI_YoY,rent_trend,3,0.2571284608634607
CPI_YoY,gas_prices_trend,0,0.5610826905949798
CPI_YoY,gas_prices_trend,1,0.5436827818381776
CPI_YoY,gas_prices_trend,2,0.5374764710036497
CPI_YoY,gas_prices_trend,3,0.542511957477782
CPI_YoY,food_index_trend,0,0.3055850342482155
CPI_YoY,food_index_trend,1,0.2909548420717556
CPI_YoY,food_index_trend,2,0.27512050648160796
CPI_YoY,food_index_trend,3,0.2668315135284327
