component,explained_variance_ratio,cumulative_explained_variance
1,0.40723741815171,0.40723741815171
2,0.1347966902018736,0.5420341083535836
3,0.0970854004156157,0.6391195087691992
4,0.04404317909860147,0.6831626878678007
5,0.03433864449225268,0.7175013323600533
6,0.02898771216195945,0.7464890445220128
7,0.024499117155179356,0.7709881616771922
8,0.01991507341629189,0.790903235093484
9,0.018340006585581936,0.809243241679066
10,0.017491004212006556,0.8267342458910726
11,0.01664941892885602,0.8433836648199287
12,0.012560165115078532,0.8559438299350072
13,0.012011106812864726,0.8679549367478719
14,0.01103299143090429,0.8789879281787762
15,0.010140738317673407,0.8891286664964496
16,0.00953836012345963,0.8986670266199093
17,0.008619053479126072,0.9072860800990353
18,0.008303497548044318,0.9155895776470796
19,0.007530125519660349,0.92311970316674
20,0.006413362923712885,0.9295330660904528
21,0.006187817493047198,0.9357208835835
22,0.005432430489494362,0.9411533140729944
23,0.005299484787616738,0.9464527988606112
24,0.00471078926305452,0.9511635881236657
